"","COACH","2016-17_WIN","2016-17_LOSE","2016-17_W-L%","2016-17_AP Pre","2016-17_AP Post","2016-17_NCAA_NOTE","2017-18_WIN","2017-18_LOSE","2017-18_W-L%","2017-18_AP Pre","2017-18_AP Post","2017-18_NCAA_NOTE","SCHOOL_SINCE","SCHOOL_WIN","SCHOOL_LOSE","SCHOOL_W-L%","SCHOOL_NCAA","SCHOOL_S16","SCHOOL_FF","SCHOOL_CHAMP","CAREER_WIN","CAREER_LOSE","CAREER_W-L%","CAREER_NCAA","CAREER_S16","CAREER_FF","CAREER_CHAMP","RANK","SCHOOL","CONFERENCE","SCHOOL_PAY","TOTAL_PAY","MAX_BONUS","2017-18_BONUS","SCHOOL_BUYOUT","CAREER_TOTAL","SCHOOL_TOTAL"
"29","Greg McDermott",25,10,0.714,22,NA,"Lost First Round",21,12,0.636,NA,NA,"Lost First Round","2010-11",187,94,0.665,5,NA,NA,NA,336,225,0.599,8,NA,NA,NA,63,"Creighton","Big East",1326553,1326553,NA,NA,NA,561,281
"30","Gregg Marshall",31,5,0.861,NA,19,"Lost Second Round",25,8,0.758,7,16,"Lost First Round","2007-08",286,98,0.745,7,2,1,NA,480,181,0.726,14,2,1,NA,13,"Wichita State","Mo. Valley",3e+06,3044000,813000,248000,1.5e+07,661,384
"31","Jay Wright",32,4,0.889,4,1,"Lost Second Round",36,4,0.9,6,2,"Won National Final","2001-02",422,165,0.719,13,6,3,2,544,250,0.685,15,6,3,2,24,"Villanova","Big East",2585041,2585041,NA,NA,NA,794,587
"32","Jim Boeheim",19,15,0.559,19,NA,NA,23,14,0.622,NA,NA,"Lost Regional Semifinal","1976-77",1027,371,0.735,33,18,5,1,1027,371,0.735,33,18,5,1,43,"Syracuse","ACC",2151736,2151736,NA,NA,NA,1398,1398
"33","Jim Christian",9,23,0.281,NA,NA,NA,19,16,0.543,NA,NA,NA,"2014-15",48,83,0.366,NA,NA,NA,NA,290,237,0.55,2,NA,NA,NA,59,"Boston College","ACC",1463235,1463235,NA,NA,NA,527,131
"34","Jim Larranaga",21,12,0.636,NA,NA,"Lost First Round",22,10,0.688,13,22,"Lost First Round","2011-12",161,79,0.671,4,2,NA,NA,603,388,0.608,9,3,1,NA,57,"Miami (Fla.)","ACC",1526735,1526735,NA,NA,NA,991,240
"35","Joe Dooley",26,8,0.765,NA,NA,"Lost First Round",23,12,0.657,NA,NA,NA,"2013-14",114,58,0.663,2,NA,NA,NA,171,110,0.609,2,NA,NA,NA,72,"Florida Gulf Coast","Atl Sun",350000,350000,115000,15000,134615,281,172
"36","John Beilein",26,12,0.684,NA,23,"Lost Regional Semifinal",33,8,0.805,NA,7,"Lost National Final","2007-08",248,143,0.634,8,4,2,NA,541,318,0.63,12,6,2,NA,9,"Michigan","Big Ten",3370000,3370000,250000,1e+05,5e+06,859,391
"37","John Calipari",32,6,0.842,2,5,"Lost Regional Final",26,11,0.703,5,18,"Lost Regional Semifinal","2009-10",275,64,0.811,8,7,4,1,720,204,0.779,19,14,6,1,2,"Kentucky","SEC",7450000,7994147,50000,50000,3e+07,924,339
"38","Josh Pastner",21,16,0.568,NA,NA,NA,13,19,0.406,NA,NA,NA,"2016-17",34,35,0.493,NA,NA,NA,NA,201,108,0.65,4,NA,NA,NA,54,"Georgia Tech","ACC",1700000,1700000,5e+05,150000,8931667,309,69
